names,scores,logfoldchanges,pvals,pvals_adj
TYMP,41.36354,1.6040239,0.0,0.0
ARHGAP18,41.29217,1.9137477,0.0,0.0
IFI6,41.005753,1.1580663,0.0,0.0
LINC00152,40.6561,1.4729474,0.0,0.0
YWHAH,40.377136,1.458898,0.0,0.0
KRT8,40.18848,1.4458588,0.0,0.0
C19orf33,40.13361,2.9087396,0.0,0.0
CTNNB1,39.95868,1.2068676,0.0,0.0
UBC,39.84708,0.48155123,0.0,0.0
CYBA,39.76501,0.50386655,0.0,0.0
CALD1,39.508785,1.4855928,0.0,0.0
EGR1,39.41408,1.322594,0.0,0.0
MT-ND4L,39.41107,0.5731801,0.0,0.0
MT-ATP6,39.076313,0.24988239,0.0,0.0
SPATS2L,38.953293,1.7074044,0.0,0.0
FCER1G,38.730495,2.2057023,0.0,0.0
YWHAE,38.66751,0.79644877,0.0,0.0
HSP90B1,38.37469,0.6656847,0.0,0.0
LMO3,38.19568,2.0147448,0.0,0.0
TESC,38.13605,3.2900896,0.0,0.0
SPARC,37.797306,2.3074818,0.0,0.0
PDLIM4,37.55922,2.7152965,9.9626814686348e-309,7.591309452820262e-307
LDHA,37.547066,0.71753776,1.5730982209449053e-308,1.1948554931532636e-306
TMEM176B,37.543667,3.1679833,1.787308121459309e-308,1.3532637377859313e-306
DAPL1,37.49289,2.8683882,1.2026588768308785e-307,9.077229112635837e-306
PHLDA2,37.201355,2.7992508,6.488376039262425e-303,4.866485426814821e-301
RHOC,37.05347,1.2712008,1.5789588189978816e-300,1.1805677719794786e-298
IER2,36.877182,0.7217572,1.072900259169449e-297,7.972115404002557e-296
CD151,36.789173,1.314026,2.7507711333630117e-296,2.0250753888259512e-294
RPS27L,36.78883,0.69912934,2.785549225917342e-296,2.0443880607146724e-294
POMP,36.765858,0.67183703,6.487591967700355e-296,4.7468539883547005e-294
EPCAM,36.530872,1.0700294,3.5888654147890437e-292,2.609945103776373e-290
C1QC,35.807198,3.5767965,8.533456625807452e-281,6.058500986025789e-279
PRDX1,35.69969,0.5917772,3.997073300562694e-279,2.829407567729675e-277
DAPK2,35.648315,2.1163633,2.5020927873811056e-278,1.7659313283445526e-276
HSPD1,35.55261,0.86165893,7.572470684187195e-277,5.3287921644077296e-275
VAMP8,35.483704,0.73015267,8.768706160624385e-276,6.152494533697919e-274
PPIA,35.414207,0.2788586,1.0320768966441362e-274,7.2203134003238605e-273
HSP90AB1,35.049538,0.40244433,3.9630058179034296e-269,2.732532484125575e-267
GGCT,35.04285,1.8652216,5.010703718362435e-269,3.4450027921132073e-267
DRAP1,34.980606,0.74476403,4.4371271417432705e-268,3.0245784613489886e-266
PLAU,34.963093,4.2080836,8.190661428429737e-268,5.567322878880962e-266
C1QA,34.76137,3.2437139,9.332250653203048e-265,6.325309607040683e-263
HLA-DPB1,34.665356,0.8872934,2.622308040548334e-263,1.7723542988180633e-261
TPI1,34.66113,0.7197481,3.0365197522368994e-263,2.0465287772400016e-261
CLDN3,34.65424,1.2565039,3.856007414059624e-263,2.591540263730072e-261
HOPX,34.56361,0.8404468,8.902298246752088e-262,5.916566329216402e-260
C1QB,34.149612,3.4259446,1.354943475606576e-255,8.955352927448325e-254
LRRK2,34.09907,2.3576777,7.613931087530808e-255,4.990983978089373e-253
TSPO,34.01074,0.791628,1.5458770499827012e-253,1.0105643250788554e-251
PDLIM1,33.954315,1.0879326,1.053424657096333e-252,6.848977811327952e-251
AGR2,33.830727,4.0569158,6.971548992622219e-251,4.5203599240509275e-249
SUMO2,33.827656,0.32295302,7.734748345319009e-251,4.988182989490636e-249
ZCCHC12,33.811268,4.041536,1.3469504013199006e-250,8.663208414510737e-249
