gene,f_statistic,p_value
TAPBPL,0.03903992759961087,0.8437095439978021
SLC9A9,0.03902125596848631,0.8437464352891896
FBXL4,0.03897547793665006,0.843836922071251
RPL24P8,0.03895698604682268,0.8438734895778042
ANO1,0.03873013306994373,0.8443228248956921
U2SURP,0.03865761160361782,0.8444667588992038
SLC19A2,0.03857107471525823,0.8446386931127429
LRRC37A2,0.03849748708144262,0.8447850570467775
FAM76B,0.038446078238748634,0.8448873941672718
AL109936.9,0.038332493975813856,0.8451137531971664
ZNF770,0.03828089236728272,0.8452167037232624
AC127024.4,0.03813656330414093,0.845505038339672
PHETA1,0.03811403853384338,0.8455500884731634
AC010201.2,0.03801388177210919,0.8457505722157411
FNIP2,0.03796437452350685,0.8458497721326274
MIR3176,0.0379183266569795,0.8459421006278034
AC112220.2,0.037499332004177384,0.8467848961001511
TRA2A,0.037364553156072886,0.8470570376618022
PAXIP1-AS2,0.03727503466489974,0.8472380723929794
XPO4,0.03705664052523023,0.8476806830725697
CENPM,0.037035279418785066,0.8477240473341732
F2R,0.036932247223866906,0.8479333909681278
MTND2P28,0.03663833658447413,0.8485322364691223
VKORC1,0.036597456212043605,0.8486157276320003
MRPS31P4,0.036539406775918604,0.8487343667878128
DFFB,0.0364686033614335,0.8488792043725781
NOL12,0.03630693161857986,0.8492104723177153
PANX2,0.03614258894891716,0.8495479975725714
MYO9A,0.036114682140834964,0.8496053912229404
AL021068.1,0.036046682539901814,0.8497453367409611
RNU6-611P,0.03561629803369771,0.8506342731691343
HAGHL,0.03539748969655203,0.8510883440153053
GTF3C5,0.03523235686501886,0.8514319907256218
YARS1,0.03504306165236911,0.851826947620823
LINC00899,0.034957219040601874,0.8520064187597726
SRRM2,0.03465794314474092,0.8526339054323806
AC130371.2,0.03462829004898608,0.8526962309994633
GOLPH3L,0.03460157875256606,0.8527523970717619
HNRNPKP1,0.03454271868486897,0.8528762418825843
MED8-AS1,0.034485184908859226,0.8529974016737781
CUEDC1,0.033907061664838214,0.8542207171989101
GINS4,0.03378729914374275,0.854475481616681
CCDC47,0.03363811285933543,0.8547934915739822
CIB2,0.033451545561456644,0.8551922117996578
YTHDF2P1,0.03330118237918173,0.8555143960215438
PRR3,0.03325220912785785,0.8556194935925964
TPCN1,0.03322152613013931,0.8556853806761967
CERS1,0.03313852404665144,0.8558637728093977
TAB1,0.0329056269913306,0.8563655628726485
ZC3H4,0.032790806102176794,0.8566136263299378
KMT2C,0.03274367343380727,0.8567155834287965
GRK3,0.032628933153523776,0.8569641062276597
PTPRA,0.032579760271081476,0.8570707508476658
