gene,f_statistic,p_value
KCNN4,650.8631735836237,7.5257329711749765e-50
PDLIM4,564.7240002160348,8.43536323054404e-47
FN1,522.0258621280769,3.8362060956539137e-45
SERPINA1,510.96224046945883,1.0753591842862071e-44
CYP2S1,428.92375814958615,4.170806517523673e-41
TACSTD2,425.860140398055,5.814116246048257e-41
SYT12,422.01390970059896,8.846233457317053e-41
DCSTAMP,411.5942686763982,2.8000738927906894e-40
LAMB3,398.64340374950626,1.210858013647917e-39
RPS29P11,389.9421436451838,3.306704074006744e-39
AF131216.3,377.04655717968393,1.5135640538406504e-38
RUNX2,368.8317392772634,4.072753294688161e-38
RUNX1,363.43234807654187,7.878164797556324e-38
KCNQ3,356.53524867578375,1.849994380122568e-37
PTPRE,342.89588081385153,1.0388051274619443e-36
SFTPB,338.0517965082234,1.941075204845234e-36
B3GNT3,322.7646326699108,1.4597107194627734e-35
NR2F1-AS1,321.91177122231744,1.636988063254767e-35
EVA1A,316.14136401225585,3.576125873965376e-35
SLC34A2,316.13123117477244,3.581069100196622e-35
CYP1B1,312.5252555487495,5.866765051756308e-35
GJB3,307.27504752061793,1.2127894311344005e-34
COL8A2,301.1189226202424,2.87482271667457e-34
TMPRSS6,295.3688167678898,6.512454472164437e-34
LGALS3,293.4111370895652,8.625549862793455e-34
PDE5A,291.40470088126506,1.1520604413642448e-33
STAC,283.8488597877295,3.470655783462211e-33
PLEKHA6,280.76842713837465,5.4735651876063464e-33
TIMP1,278.30278683810695,7.902241234511836e-33
SLC4A4,277.2829493121022,9.2046242932178e-33
PROS1,276.23089453016246,1.0777925286990978e-32
NGEF,273.9555542539341,1.518370695725405e-32
SFN,273.4375249829397,1.642049845544674e-32
CHI3L1,271.8256466159946,2.0965051479182522e-32
SLC27A6,270.5638184660329,2.54021215114784e-32
NECTIN4,269.83836993291766,2.837439300895718e-32
SDC4,265.5956865168419,5.442531763433355e-32
MACC1,263.7028459020729,7.294898917749706e-32
GABRB2,263.15655213807577,7.940608272316083e-32
CST6,258.38816977634644,1.6735531510880601e-31
FAM20C,253.77945283940429,3.471579421101944e-31
ICAM1,252.75079623005266,4.090674272367029e-31
ANXA2,249.75172344204537,6.617873884373282e-31
PLAU,248.2849276182339,8.38540912229304e-31
PLCD3,246.36106536958937,1.1454989202276886e-30
LGI3,246.14254321001604,1.1869367833607157e-30
CREB5,244.40127043908348,1.5766565005993865e-30
ETHE1,243.8069948125344,1.7376311273383857e-30
TMPRSS4,243.42920860822073,1.84856110878865e-30
KRT19,242.26353126372194,2.2384126373676542e-30
ALOX5,238.66352860293003,4.058061774413369e-30
SLC25A47P1,237.31470802320584,5.079279494933154e-30
EBI3,236.47183467623913,5.84666741264468e-30
IL1RAP,235.80941935598037,6.531825534587526e-30
GBP2,235.73825012921438,6.610139073087743e-30
RASGEF1B,231.1609918006953,1.429970313658703e-29
AC009549.1,229.58212542155704,1.870455675440268e-29
CCL13,227.87442136893478,2.5042971914362415e-29
TAGLN2,225.42685664805944,3.814486307674264e-29
MET,224.47248034000847,4.49832806958074e-29
MVP,223.07791819651194,5.72874067947271e-29
EPHB3,222.7715840581813,6.042038181521823e-29
CTSH,222.47388393426306,6.363207227195575e-29
WARS1P1,221.40559339782283,7.665731330783122e-29
ALDH3B1,221.32238068935638,7.777932466159784e-29
S100A10,220.9699697493262,8.271935092462475e-29
LY6E,220.1042999948287,9.62538422862918e-29
BID,219.83675591981924,1.0087694952765084e-28
DUSP5,218.0751514840774,1.3751421889525807e-28
RSPO4,215.91154548935282,2.0164346623790604e-28
SLC22A31,214.88473121533752,2.420233910816662e-28
LDHD,213.2146369964596,3.260777198920232e-28
ANXA1,212.78348099903982,3.5224967894795904e-28
MAMLD1,212.40855467941088,3.7674118336929955e-28
C11orf80,212.13967044638093,3.9536615975447587e-28
PLAUR,210.7152997323902,5.108578929684913e-28
CAMK2N1,209.52377251640308,6.335487316696058e-28
OTOS,208.23412532448893,8.004691723864025e-28
SLC35F2,204.6026878674886,1.5542525613259526e-27
AC002401.4,200.92765606225694,3.0655219388682857e-27
DTX4,199.38620134734668,4.0855718643702556e-27
IRF5,198.94466533415422,4.437091952342196e-27
HGD,198.70429240304622,4.6412394893107146e-27
KCP,198.3081151109756,4.998787388991566e-27
RIN1,198.188487197495,5.1121653875081685e-27
LINC02861,197.92655521730526,5.369633517895913e-27
JAK3,197.75842159933723,5.541814525430061e-27
CXCL17,197.6585954059107,5.6466899828816316e-27
AC254633.1,197.5878656862309,5.722217034685512e-27
GNA14,196.98938865433865,6.4038689926863496e-27
ARNTL,196.35970094666567,7.210588260303458e-27
MT1F,194.89755214325825,9.506546735133969e-27
DUSP15,194.31794434041777,1.0611309708351261e-26
MTMR11,194.31208699161434,1.0623116770742063e-26
AP002358.1,194.05645397635547,1.1151645564878738e-26
PLXNC1,193.40862889459186,1.261408349352442e-26
WNT4,193.06962167750532,1.3455684243834748e-26
MXRA8,191.12734515196968,1.9507865920228043e-26
ABTB2,190.03891078970923,2.4046416095066105e-26
ITPR1-DT,189.8873251109339,2.4758671927209985e-26
SYTL5,187.58508278841657,3.8640202162940166e-26
ELF3,187.47017244256324,3.9511770289776605e-26
SPTBN2,186.97737517591264,4.348221694971207e-26
ACSF2,186.58533677477388,4.6929146174538226e-26
MUC1,186.48533673893238,4.785204366004454e-26
CTSC,183.6112629590581,8.398266498790491e-26
KATNAL2,181.01891860282367,1.401376577613728e-25
MST1R,180.7749711120351,1.470889718915017e-25
MYO1G,180.4970774675192,1.554362174163402e-25
ERBB3,180.33774073627234,1.6043803579814595e-25
PELI1,179.81329466626656,1.7808763699390998e-25
CATSPER1,178.35554682908128,2.382578261714804e-25
SCD,176.6296585877303,3.369200479420036e-25
TMC6,175.89015098071926,3.9108998565892527e-25
EMP3,175.66114320121648,4.0960147585798035e-25
RASD2,175.13141100902476,4.559125945671359e-25
ITGB8,175.0976714869557,4.590366946754504e-25
MT1G,175.05096603642755,4.633973370705018e-25
ALOX15B,174.21098565080288,5.4943172684421425e-25
SPX,173.89709737354772,5.856075306535344e-25
AL034548.2,173.11470106684342,6.866966279558844e-25
FCHO1,172.91679601950946,7.149703618401866e-25
CD58,172.90680787735704,7.1642831011546935e-25
SLPI,172.5621863320273,7.686283365719522e-25
MPPED2,172.11148894965498,8.427848553918019e-25
TPO,172.03462569058783,8.561399390133836e-25
FLNA,171.98000199576836,8.65761528434249e-25
TNFRSF12A,171.89903037588223,8.802268705982836e-25
MCUB,170.86600925898472,1.0878842072429317e-24
LDLR,170.33304290524285,1.2138694701386184e-24
DUSP6,170.0243714661386,1.2935234943315525e-24
TBC1D2,169.54824365864891,1.4269531735174504e-24
AL158166.1,168.6911854706686,1.7034754881058152e-24
APOL1,168.46054022014846,1.7868057801860943e-24
TNC,168.2406242057564,1.8701207941281696e-24
AL031710.1,168.14032780023587,1.909419591897125e-24
WNT10A,168.07895891989565,1.9338787133482105e-24
S100B,168.02670013414664,1.9549580178048044e-24
PLEKHN1,167.62394282734525,2.1254584341331607e-24
ITGA3,167.21283258913215,2.3151243093989066e-24
FSTL3,167.1681091389358,2.3367698020301162e-24
S100A11,167.1675537912907,2.33703987197648e-24
AHR,166.9589423445587,2.4407687830290566e-24
RAC2,166.2451610524607,2.832468519033378e-24
LAD1,164.92783591559376,3.731562416075095e-24
QSOX1,164.68232934343953,3.9288540682970615e-24
KLK7,164.0147651174828,4.520706565791459e-24
MEDAG,163.87448357430156,4.656191413641273e-24
ST6GALNAC5,163.27280129349265,5.285787567658034e-24
TMEM92,162.96610966756708,5.6393690328897565e-24
LOH12CR2,162.8226704829965,5.81290488424947e-24
CXCL16,162.42554778587132,6.322235281408004e-24
LRG1,162.20045743358855,6.630852294499109e-24
GOLGA8M,162.02400353359516,6.883468438137973e-24
AC007613.1,161.8784527210882,7.099197469998078e-24
AL096865.1,161.68996075876754,7.388828073367468e-24
FAM167A,160.00077037564364,1.0586084769816414e-23
GRB7,159.10348541994287,1.2825567325181956e-23
IGFBP6,158.93391583490214,1.3300167234984893e-23
ELMO1,158.91085352172237,1.336608089873764e-23
DRAM1,158.54780165548075,1.4448614087010934e-23
TMEM38A,158.49420481506576,1.461581718810969e-23
THEMIS2,157.99618296075164,1.6266767425246118e-23
TMEM116,157.94586791197156,1.6443779670199436e-23
TMEM79,157.6934144986244,1.7361959061520555e-23
FAM178B,157.48670636253547,1.815249033899839e-23
AL353572.4,156.8899411552979,2.064647013873804e-23
UNC5CL,156.69737375644033,2.1523515250623536e-23
SORBS2,156.6491048238323,2.1749234693043092e-23
PSMB8,156.39659455022957,2.2969897359557295e-23
EIPR1-IT1,156.21332724874358,2.389928105115539e-23
MARCO,155.15143331575618,3.0090173743123226e-23
STK17B,154.86818199404047,3.2001910719012626e-23
ACP5,154.8007680738472,3.2474826799596923e-23
TGFBR1,154.71420224830152,3.3092536583794784e-23
PLEKHA4,154.63358934260862,3.367851189316669e-23
CD55,154.35846405238024,3.5759067224750593e-23
ALOX5AP,154.11903225103464,3.76759033996257e-23
RASGRF1,153.76176173487997,4.0732367406895755e-23
SPOCK2,153.7120885153911,4.1176855133179074e-23
CLDN10,153.6226650558408,4.198951101674631e-23
GPR153,153.34117647774062,4.4655690274569054e-23
HLA-B,153.0141157614618,4.7970750422101576e-23
S100A6,152.7558436610985,5.07647250466748e-23
PPM1L,152.5971525849546,5.2562979694187333e-23
NOD1,152.31769009824663,5.588885173564639e-23
RND3,152.14834686933438,5.800757199100694e-23
P2RY6,151.90346384628285,6.12168054991268e-23
HPSE,151.643977638502,6.481486857384131e-23
KCNIP3,150.76927660282652,7.860758678130184e-23
PRSS23,150.67497397106865,8.026281980966619e-23
SH3BGRL3,149.65049465948724,1.0070203546471231e-22
YBX3,149.44496431499485,1.054022695527442e-22
BTBD11,149.2732372484642,1.09500243212438e-22
IL17RD,148.4188437060215,1.3243167329579883e-22
FAM20A,148.28806095427447,1.3635014369008509e-22
CSF2,147.5216208631538,1.6180686158564067e-22
C16orf89,147.16865418296254,1.7510808297965444e-22
TMSB4X,146.42285210391182,2.0699137783148758e-22
PPP1R1B,144.6909729245023,3.05809930001637e-22
CDH3,144.3050741970781,3.3371336277758525e-22
SLC1A5,144.01020991600208,3.567695556066526e-22
VASN,143.90632984196398,3.6527277033439383e-22
SOD3,143.86288736563182,3.688896589682967e-22
MFGE8,143.33146045061122,4.161994160085803e-22
HLA-DRB1,143.32453329649624,4.168552521952106e-22
HLA-DQB2,142.46334513272495,5.071545933981034e-22
SEL1L3,141.58738844958424,6.19510456865437e-22
ANXA2P2,140.95909245125364,7.154317840003973e-22
UBE2E2,140.761329531321,7.486498157602577e-22
SNTA1,140.69693976161818,7.598004848986263e-22
LEMD1,140.05651650211703,8.803386433249764e-22
TRIM58,139.9683208490711,8.983989388710506e-22
RBBP8NL,139.85287655664462,9.226099669283369e-22
ITGB4,139.78729108253344,9.366591244899617e-22
TMSB10,139.72259569519704,9.507308276365286e-22
COL8A1,139.38407116660431,1.027947049882007e-21
MMP15,139.30157852683496,1.0477113478707035e-21
SCEL,139.2984052275746,1.0484793075658615e-21
G0S2,139.01867722026915,1.1184752980318369e-21
INSL3,138.81417938998285,1.1726388640803737e-21
LCN2,138.79548182476987,1.1777223636229985e-21
LINC01431,138.7173340840907,1.199212971169645e-21
FAM43A,138.46649597143283,1.2709265791896166e-21
FAXC,138.19566800644608,1.3532649749666144e-21
IGFL2,137.86618697272473,1.4607934071465765e-21
HLA-DQB1,137.75878455446988,1.4976918140212509e-21
PAIP2B,137.5538878347898,1.5707357366518421e-21
ENDOD1,137.31936380042026,1.6588028180947405e-21
CLDN1,137.16965598943494,1.717630686534715e-21
AC008014.1,136.96476554171184,1.8015993049393427e-21
C3,136.90785135904218,1.8256566788404055e-21
CDC42EP1,136.45286724289238,2.030111567726592e-21
MACIR,136.3010399323235,2.1034017676188208e-21
FHL1,136.01429377723687,2.249246310612983e-21
CD52,135.35421354187855,2.625336812778273e-21
GRHL3,135.32616351632265,2.6426667413684963e-21
CTXN1,135.23163024943696,2.701933003786997e-21
WASF3,135.14222266260776,2.759229601925918e-21
TMEM43,134.8368157645123,2.964438236381762e-21
CDC42EP3,134.70459986454654,3.0580288754796773e-21
COMP,134.6863568403757,3.0711762960179882e-21
HLF,134.42425759963814,3.266540692183157e-21
MICAL2,134.02486692025647,3.588848558177021e-21
SLC5A8,133.99402491556646,3.615045134517065e-21
KLK10,133.86490570132977,3.726845042251422e-21
ICAM5,133.48352320997745,4.07804683590881e-21
CD74,133.407105467096,4.152370497950796e-21
EBF4,133.3108195189839,4.2479832342791994e-21
BEAN1,132.13285417973157,5.616279342031396e-21
STAT1,131.9763308266269,5.829154719039186e-21
GCSH,131.67542205219857,6.261743221380001e-21
PRICKLE1,131.61820656042812,6.347621373483921e-21
TMC8,131.57749555384552,6.4094555430324755e-21
IFIT5,131.44115872864393,6.621028745081667e-21
BCAT2,131.4312272275824,6.6367156937985816e-21
SLC29A4,131.41317604590284,6.665324653531128e-21
EHBP1L1,131.2805823126684,6.879351019419545e-21
INF2,131.27819802707185,6.883262941323081e-21
NRSN2-AS1,131.20486167319427,7.004698142024334e-21
PDZK1IP1,130.83123110477365,7.658074931207573e-21
IGSF9,130.77446346586862,7.76263648699835e-21
SHROOM4,130.52632693370003,8.237006302129936e-21
MRC2,130.2344465108359,8.83291784097802e-21
PPARGC1A,130.10385740870933,9.113556187684748e-21
AHNAK2,130.03681358894082,9.261140876530962e-21
WSCD2,129.65855587303068,1.0140562534016187e-20
NFE2L3,129.56511634829826,1.03705948895347e-20
DIO1,128.95013055092684,1.2022997055737515e-20
TGM1,128.83747243426762,1.2353574913673917e-20
MUC21,128.82814502942628,1.2381355756478717e-20
ZYX,128.70142123926195,1.2765149190589067e-20
GABRB3,128.55428804696425,1.3225967824686687e-20
LINC01886,128.4473601199844,1.3571450997044353e-20
FBXO10,128.1909628599512,1.443774865288141e-20
C1orf116,128.14199711254105,1.460948283246618e-20
LGALS1,128.09607558671152,1.477242799032737e-20
CDC42EP5,128.0915745353319,1.4788498389109445e-20
OSMR,127.58249104953475,1.6725829214107697e-20
KCTD17,127.51286340881768,1.701016944180282e-20
RAMP1,127.25964358888,1.8086358944814076e-20
TBC1D8-AS1,127.15404208258279,1.8555396809989545e-20
WTIP,127.1509469756936,1.8569329076413846e-20
SFXN3,127.10990979264697,1.875506214275598e-20
SCN1B,126.97504930821147,1.937885154365818e-20
HLA-DRA,126.96075011190298,1.9446217139340412e-20
CFH,126.90366730990061,1.971752441099498e-20
AMOT,126.68338096019271,2.0801120437044405e-20
LINC00886,126.42014801339235,2.2175766324470767e-20
KRT80,126.3142599347884,2.2754472590487697e-20
CCL18,126.20350662371702,2.3376217336305494e-20
ETV7,126.17124219451024,2.3560572750010575e-20
S100A4,125.60383345572758,2.7055646834720213e-20
AC010735.2,125.48152510660431,2.7875676456729134e-20
ARHGAP24,125.25582928064952,2.9455860646878244e-20
NCF2,125.23942919039719,2.9574175295781495e-20
TNFRSF21,124.92650771910158,3.192663697810464e-20
KCTD12,124.8976579164891,3.21528869096402e-20
LYN,124.69336836048309,3.3802357723874295e-20
TMEM184A,124.68305825610506,3.3887849267501527e-20
IL4R,124.45763042994233,3.581308657232281e-20
COPZ2,124.38626744669814,3.644545385097247e-20
GPAM,124.28235100300671,3.738665771304802e-20
SNRNP25,124.06618326934597,3.942455562300984e-20
SRGAP2,123.78159970722676,4.2280887025780775e-20
FAM201A,123.72822709474973,4.2839587451948554e-20
FAHD2A,123.5150368841706,4.5147189482542187e-20
UPP1,123.3781803563586,4.669479735226394e-20
CCL22,123.19902982940255,4.880256511348203e-20
DOK7,122.72661728703221,5.483697724118177e-20
MGAT3,122.72254248099226,5.489220336367219e-20
CFAP46,122.55073496554162,5.727294058576821e-20
FCER1A,122.3054108981972,6.085572912682468e-20
GRIN2C,122.28848106380515,6.111123076296437e-20
OSCAR,121.34739812078138,7.717393099726684e-20
DSC2,121.30534688315022,7.798458295667601e-20
IGFBPL1,121.19038662387584,8.024524275679735e-20
ANKRD9,120.66332071339646,9.149479248183585e-20
DOK2,120.65592235578376,9.166363290032754e-20
NRP2,120.62665109493983,9.233475529043513e-20
IFTAP,120.38090508553105,9.816999716347132e-20
MRC1,120.3209353330996,9.96500582664091e-20
MPZL2,120.26168862740799,1.0113456521305507e-19
MT1DP,119.89521163085617,1.1083068437408355e-19
LRRC52-AS1,119.86427375620805,1.1169131983313899e-19
IQGAP2,119.85647331128781,1.1190938499313222e-19
AC009779.2,119.80987569667994,1.1322109365963846e-19
CLU,119.64299225934568,1.1804846803966835e-19
HLA-DQA1,119.52219066134916,1.216730331169585e-19
SCNN1A,119.4280303935562,1.245766016892196e-19
CKB,119.38106351992788,1.2605113914445688e-19
C10orf55,119.06064437624126,1.365959578468961e-19
C16orf74,119.03459084621348,1.3749185577658998e-19
GGCT,118.78883925922071,1.4624223607075075e-19
ACOT7,118.65447732333097,1.5126383118782096e-19
GPNMB,118.51938422549895,1.5648967541869514e-19
HLA-A,118.50513603142564,1.57051441037334e-19
OGDHL,117.88105583769624,1.8378061224411289e-19
VDAC3,117.7646511080423,1.892568362625492e-19
SLC25A15,117.73338240213677,1.9075594585729064e-19
ITPR1,117.6836130314458,1.9316698280228878e-19
TIPARP,117.67774528972059,1.934532759639038e-19
EPHA10,117.63013715601178,1.9579213992368047e-19
GALE,117.55515269221287,1.9953440563681237e-19
CD109,117.53696319156946,2.0045310631817313e-19
APOL4,117.52850480242624,2.0088178014259867e-19
LINC01789,117.50677939723019,2.0198710862063705e-19
CLDN16,117.47725127924612,2.0349934247096262e-19
TM4SF4,117.26245700783542,2.148519343527105e-19
FAXDC2,117.10738558234942,2.2344663784465765e-19
ARHGAP23,117.07037754539128,2.2554896326244145e-19
TNFRSF18,116.58637818976447,2.549705923538267e-19
KLF8,116.58156760449725,2.552818333903861e-19
FAM111A-DT,116.51430006312015,2.5967469291333964e-19
CYSLTR2,116.49822307584377,2.6073592499096726e-19
HPGDS,116.17490799896706,2.830398787278799e-19
ANKRD46,116.16866378435974,2.83489234300804e-19
LIPH,115.92254949697913,3.017907481135408e-19
SLC26A7,115.81150868997457,3.104370786931644e-19
MNDA,115.79780509856957,3.1152145037268153e-19
SGMS2,115.62016691977658,3.259317868483252e-19
AC105052.5,115.44120989005283,3.411352822639318e-19
HLA-C,114.69219594824848,4.130149891471333e-19
EMP2,114.621701916256,4.2052817358421563e-19
PERP,114.4977834387196,4.340739392133266e-19
GDPD1,114.48017730384173,4.36034186138577e-19
PLP2,114.45065525335664,4.393413665833762e-19
NT5C3B,114.3028843362534,4.562828108129427e-19
IVL,114.2926854546565,4.574763085234936e-19
SPHK1,114.03611010191499,4.885692483553491e-19
HMGA1,113.99558423099745,4.936733707111569e-19
MAP3K6,113.97051817983173,4.968574855054947e-19
SLC6A6,113.96553459898772,4.974930298175405e-19
INAVA,113.91545805267235,5.039252546102605e-19
HLA-DPA1,113.49601144524473,5.612361431271601e-19
AL031985.3,113.39801155362903,5.755560992259975e-19
HAPLN3,113.38018774579903,5.782002262130667e-19
ACACB,113.15549595982887,6.126122059593547e-19
BATF3,113.15451078070633,6.127675882331018e-19
PHYHIP,112.63788818931201,7.00032934124582e-19
NR2F1,112.52303440543008,7.21093059147629e-19
TRIM47,112.51707281273075,7.222036354926184e-19
CDH11,112.29980080381857,7.638886729636121e-19
IER5L,112.2546398291221,7.728558604978072e-19
MLEC,112.21934277964527,7.799389518950951e-19
SLC39A11,112.11668343321018,8.009172931906457e-19
SIGLEC15,112.1056702269407,8.032016551303674e-19
TMEM163,112.06275623124007,8.12166289785147e-19
DGLUCY,111.9344758463036,8.395753116358318e-19
AC004847.1,111.89901585807534,8.473165619616709e-19
BDH1,111.81229200107711,8.665565478305163e-19
FCGR2A,111.7931864173468,8.708545782591271e-19
ATIC,111.72860705541002,8.85543656246169e-19
HLA-DPB1,111.66042508405845,9.013258249823545e-19
TMEM100,111.54088493136267,9.296898136962005e-19
IGSF6,111.45328767027462,9.510495559473045e-19
FAAH,111.42862723321109,9.571523290379592e-19
MCRIP2,110.73446170289877,1.1463079595251002e-18
MBOAT2,110.63743273464027,1.1756228154731034e-18
MAP2,110.62361653671982,1.1798586114521461e-18
CCNA1,110.57050933386449,1.1962853451998835e-18
DPP4,110.47699701157791,1.2257774999348441e-18
MIR31HG,110.01142559306648,1.3840013328480782e-18
AL356740.1,109.71551200237606,1.495219685248937e-18
ITGB2,109.58025829589906,1.5490413158856396e-18
ARSJ,109.52264654091451,1.5725613987505806e-18
CH17-340M24.3,109.42478045030651,1.6133512152668071e-18
PPL,108.97297219923287,1.816079091466957e-18
LAMP5,108.85037535446537,1.875432985872398e-18
LPAR5,108.70831178291937,1.946685056494864e-18
CSF1,108.69876118149433,1.9515728162141393e-18
RARG,108.28674621758097,2.1747622488282998e-18
TIMM17B,108.28386580020832,2.1764107415033895e-18
PNPLA5,108.12133695125483,2.2715169607753498e-18
MDFIC,107.93711729864575,2.384440849213673e-18
PLK3,107.91034735741039,2.4013191593844433e-18
PAM,107.6050656843602,2.602615336669663e-18
CD207,107.46310395428156,2.7019885374200583e-18
MATN2,107.25864809232189,2.8519326415275356e-18
LCP1,106.89747845586821,3.137810475663666e-18
CD276,106.75350374852526,3.2597474877401933e-18
AC006058.3,106.52315882293865,3.464945138801591e-18
PSTPIP2,106.44753694694062,3.535138101844818e-18
IL4I1,106.41496814327786,3.565812758315769e-18
PLAAT4,106.27917388008325,3.6966552296176196e-18
AC023509.3,105.91436907482976,4.072873143504585e-18
CLEC2B,105.78929018200883,4.210646972168299e-18
IL1RN,105.61770198419664,4.407400231533296e-18
AL137026.1,105.48228880129538,4.569257948557837e-18
SOX4,105.35667632720147,4.7248047474735436e-18
SPI1,105.3322774074164,4.755637300922696e-18
PAPSS1,105.18258819808335,4.949329089779114e-18
STRA6,105.05612653001239,5.1192090830166624e-18
MAFF,104.93040707710601,5.293973690708246e-18
GNA15,104.52932323461603,5.893171346766106e-18
MT1H,104.49557838907342,5.9466293218159435e-18
AC127070.1,104.38608334023412,6.123510577032936e-18
PARP4,104.33847563796303,6.20207780762606e-18
AC074032.1,104.24434792794196,6.3604485729993e-18
BX470102.1,104.11682812757942,6.581585972247773e-18
WWOX,104.0868832544185,6.6346388235426665e-18
TGM2,104.01756073083874,6.759131791282153e-18
AC010894.1,103.81749905348356,7.131903525037333e-18
PSMB9,103.80899242117106,7.148209467396759e-18
STING1,103.69368527792741,7.373014015683057e-18
GSN,103.62063430983403,7.519143579311741e-18
TRMT9B,103.5844633644764,7.592586194568146e-18
LINC02481,103.51219537890549,7.741514226268605e-18
LINC01936,103.3296781091392,8.131010502952931e-18
HCP5,103.30120116206572,8.193554325834258e-18
NCF4,103.19318553911818,8.435270444325667e-18
KCNAB1,103.16438468535726,8.500937015104819e-18
PYGM,103.03817944199523,8.79487569322329e-18
SLC2A3,102.96142082722625,8.978685874386307e-18
CD1C,102.92600212084996,9.064814205030626e-18
GCNT4,102.92494004479532,9.067409812977275e-18
CELF4,102.84062049609001,9.275909535817164e-18
SCARA3,102.72742483050087,9.563503285425121e-18
CSGALNACT2,102.72226337069503,9.57683103187122e-18
CDCP1,102.59817948086443,9.902986071158273e-18
CYP27B1,102.55259177122127,1.0025632291307187e-17
DEPTOR,102.5023937919,1.0162470044877243e-17
CRLF2,102.26732735367618,1.0828976581814618e-17
MPC1,102.19519140795676,1.1042299864732955e-17
GPER1,102.13463130500898,1.1224688593500149e-17
PKP2,102.06605588376817,1.1434920177212745e-17
B2M,102.05364804542053,1.147338464170131e-17
CCL17,101.83929451095537,1.2159057019548404e-17
AL451042.2,101.83358484871178,1.2177880381055679e-17
RNF150,101.80409006351674,1.2275590565561799e-17
KLF16,101.66189849347228,1.2757951153743951e-17
CLEC5A,101.50678432067194,1.3306177416889857e-17
EHD2,101.47497779104455,1.342152086282408e-17
PGF,101.3808455864248,1.376887706064666e-17
AC022007.1,101.28959458625383,1.4114331049600592e-17
LENG9,101.02424524077774,1.5169823003072734e-17
LINC02568,100.76786043805876,1.626594875089045e-17
UNC5B-AS1,100.63675101335002,1.6857282752360924e-17
IFIT2,100.54101623868482,1.7302843362331273e-17
LINC02454,100.4090380763796,1.7936800412603927e-17
SIRT4,100.38466617147753,1.8056430491849696e-17
CDC25A,100.08346613760038,1.960365736956879e-17
QDPR,99.94095911168169,2.038205063788605e-17
HRH1,99.91396674380867,2.0532991627550026e-17
LINC01508,99.90270069389331,2.0596327086588312e-17
ANXA3,99.87181387527717,2.0770987657835143e-17
SERPINB8,99.86282133870658,2.082212179021836e-17
PRSS22,99.85865195893138,2.0845873501810082e-17
SPINT1,99.76417525496855,2.1391529628110366e-17
CXCL14,99.64322624011218,2.2111345052026047e-17
TFF3,99.63000136506501,2.219153134124702e-17
PALM,99.59609007708208,2.2398499736267307e-17
SYNPO,99.47100745830956,2.3179034742593583e-17
BFSP1,99.4388436947938,2.33841765847361e-17
SLC2A4,99.3405554351348,2.4022581031701025e-17
TP53INP2,99.26852252953158,2.4501684962139042e-17
CYP4F32P,99.16095745924558,2.523527970699648e-17
CLCNKB,99.07638100649852,2.5827754477064432e-17
PRSS2,99.03481051709828,2.6124131003524738e-17
ADIPOR2,98.59669585955882,2.9466199489850895e-17
NECAB3,98.48016190455509,3.0426279092921645e-17
SLC17A9,98.40916226295079,3.1026757492242694e-17
IFI16,98.29431912271578,3.2023674585638414e-17
FRMD5,98.25951308289648,3.2332202869246423e-17
HCK,98.24353488570429,3.2474847975827047e-17
SLC26A4-AS1,97.8745178509818,3.595349579182848e-17
CCL20,97.77977970960245,3.690621782604609e-17
APOL2,97.62720993855814,3.849481705451635e-17
MDS2,97.59218722902962,3.886919567115e-17
AL035420.3,97.51928207674658,3.966044591652625e-17
WASIR2,97.43837300626757,4.055776532588282e-17
BIRC3,97.2655375738284,4.2544402799277754e-17
RIPK2,97.11545286007284,4.434971900419255e-17
SLC25A42,97.04518630986425,4.5221524481332997e-17
RIDA,96.97314566528163,4.613344754850691e-17
AC004839.2,96.68067445978032,5.003199822590978e-17
CD1A,96.54703351241895,5.1923379617388424e-17
GPAT3,96.30021992634524,5.560988074002804e-17
LY6G6C,95.76458497317296,6.455365717564646e-17
HLA-G,95.66577643080339,6.635702069908198e-17
SFXN4,95.4701696174426,7.007968967901541e-17
TM4SF1,95.24949955604694,7.453521348722014e-17
CTSS,95.18233079051706,7.594782057615613e-17
SMIM3,94.73118999857923,8.616854832693755e-17
ADAMTS14,94.65950073069007,8.791705280001212e-17
ITGAM,94.64182565497805,8.835366734280592e-17
KCNQ1,94.41959622779574,9.403522723036012e-17
NGFR,94.41124517473891,9.425583447937739e-17
NXN,94.36722152287504,9.542752671065637e-17
PDE9A,94.31848801701342,9.674186096283324e-17
ARHGEF38,94.27607015594211,9.790084595274287e-17
CD1E,94.1248686279454,1.0214827504129175e-16
ESPN,94.10157741234707,1.0281901832571881e-16
FAM240C,94.09810095896655,1.0291951720045532e-16
PKM,94.05647868372269,1.0413054081629185e-16
ROR1,93.85680102013934,1.1014500747720451e-16
MTARC2,93.83192366868721,1.1091869247544948e-16
PFKFB3,93.81256204538695,1.1152466212236495e-16
MDK,93.6672635678016,1.161809262620516e-16
TYROBP,93.56071717067837,1.197206104898601e-16
NETO2,93.54249849378554,1.203367647346492e-16
NAB2,93.41233646491025,1.2483371498060408e-16
LINC01770,93.40086663671678,1.252380899881978e-16
AC062015.1,93.40019142173179,1.2526193654323223e-16
OR2W3,93.38317798874503,1.2586432638430443e-16
LYZ,93.35775823192795,1.267698517070862e-16
CD47,93.32304078493392,1.2801730413754407e-16
ZNF430,92.92349139872168,1.4330546804026727e-16
LILRB3,92.8724711073464,1.4538710027980994e-16
