names,scores,logfoldchanges,pvals,pvals_adj,cluster
HSP90AB1,80.92418,1.2491304,0.0,0.0,1
SLPI,80.31369,3.359445,0.0,0.0,1
S100A10,76.118675,1.6526686,0.0,0.0,1
ANXA2,75.0402,1.8687056,0.0,0.0,1
ATP1B1,74.14909,2.3087425,0.0,0.0,1
SAT1,71.34073,1.3593518,0.0,0.0,1
IFI27,70.48399,3.1306596,0.0,0.0,1
NEAT1,65.28547,1.3080065,0.0,0.0,1
HSPD1,64.481,1.8065884,0.0,0.0,1
GAPDH,64.10972,0.8982686,0.0,0.0,1
ACTG1,64.02787,0.79685223,0.0,0.0,1
TACSTD2,62.829857,2.566972,0.0,0.0,1
KRT18,61.51853,1.992051,0.0,0.0,1
JUND,60.119846,1.1448488,0.0,0.0,1
MT-ND4L,59.445473,1.117541,0.0,0.0,1
HLA-DRB1,58.73741,1.5633262,0.0,0.0,1
CTSB,58.40005,1.4816166,0.0,0.0,1
VIM,58.26519,0.9856779,0.0,0.0,1
CD24,57.150356,1.7385176,0.0,0.0,1
GSTP1,56.956432,1.2035841,0.0,0.0,1
KRT8,55.68888,2.0371017,0.0,0.0,1
SQSTM1,54.30316,1.4411104,0.0,0.0,1
DSP,54.251347,2.237317,0.0,0.0,1
ISG15,54.250454,2.080452,0.0,0.0,1
UBC,54.22113,0.68440706,0.0,0.0,1
PERP,53.463688,2.0601969,0.0,0.0,1
SFTPB,52.907433,3.1475463,0.0,0.0,1
APLP2,50.49799,1.3326676,0.0,0.0,1
CRYAB,50.31077,2.7083263,0.0,0.0,1
CLDN4,50.23715,1.7582955,0.0,0.0,1
HSPB1,49.29859,1.2497953,0.0,0.0,1
TM4SF1,49.05052,1.9270489,0.0,0.0,1
IFI6,47.570194,1.840145,0.0,0.0,1
PEBP1,46.993885,1.0184083,0.0,0.0,1
HSPE1,46.729683,0.94946104,0.0,0.0,1
CCL4L2,45.95958,1.9317162,0.0,0.0,1
S100A13,44.604122,1.2970933,0.0,0.0,1
CST6,44.28132,1.9489012,0.0,0.0,1
ATF3,44.243412,2.0243323,0.0,0.0,1
CLDN7,43.95372,1.6807426,0.0,0.0,1
HLA-C,43.68631,0.5583963,0.0,0.0,1
IGKC,43.323425,1.6158727,0.0,0.0,1
IGSF1,43.19276,2.432914,0.0,0.0,1
PKM,42.067635,1.2893809,0.0,0.0,1
CLDN1,41.79072,2.1408215,0.0,0.0,1
HSP90B1,41.46262,0.91615665,0.0,0.0,1
ZFP36L1,41.386173,0.9281509,0.0,0.0,1
TSPAN1,41.171993,2.4489856,0.0,0.0,1
MUC1,41.153336,3.199805,0.0,0.0,1
FTL,41.0534,0.37652478,0.0,0.0,1
HSPH1,40.59665,1.6346604,0.0,0.0,1
MGST1,40.14051,1.2087389,0.0,0.0,1
S100A14,40.107685,1.7087556,0.0,0.0,1
CLDN3,39.83799,1.4702915,0.0,0.0,1
NAPSA,39.136223,4.069025,0.0,0.0,1
WFDC2,37.540615,1.5800623,2.00453711995632e-308,1.7067813214261536e-306,1
NUPR1,37.350723,1.8433367,2.467746462408599e-305,2.0863357547557646e-303,1
SOX4,37.257435,1.5855688,8.03094056862961e-304,6.742045054211651e-302,1
MT-CO3,37.16229,0.299276,2.776232647686788e-302,2.3144300462910832e-300,1
MT-CO2,37.02564,0.3206508,4.429901000425863e-300,3.667467520283363e-298,1
ELF3,36.420685,2.690467,2.003397814659568e-290,1.6031202713560142e-288,1
PLCG2,36.41909,1.1387526,2.1231898202139374e-290,1.693314654614622e-288,1
EPCAM,36.327312,1.1663376,5.996305553311059e-289,4.734904510512224e-287,1
LCN2,36.29917,3.086151,1.6672897333923475e-288,1.3036462144165131e-286,1
PDZK1IP1,35.754818,2.4497757,5.567834295831341e-280,4.2697436975019445e-278,1
