tissue,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
LN_metastasis,0.23502544037883494,0.004366005608637974,0.06495272959312186,0.022820775469765412,0.03796745646588638,0.03331598125976054,0.08025054155261876,0.039646689392285606,0.0939698745613004,0.021242296518950144,0.09040990075733404,0.00026867726822387534,0.03502879884468774,0.0010075397558395325,0.02265285217712549,0.039109334855837855,0.02083928061661433,0.00010075397558395325,0.028026397541602997,0.04585985121996272,0.023996238518244867,0.0002015079511679065,0.0023845107554868934,0.0015784789508152676,0.020234756763110612,0.008933519168443855,0.00015113096337592986,0.010411244143675169,0.005591845644909405,0.0022669644506389483,0.004735436852445803,0.002183002804318987,0.00047018521939178184
Paratumor,0.19422216992233465,8.825606024947047e-05,0.16100847258178394,0.007766533301953401,0.022152271122617088,0.0056778065427159335,0.058807954812897155,0.04698164273946811,0.0013532595904918805,0.014238644386914568,2.9418686749823487e-05,0.14120969639915273,0.08031301482701812,0.0,0.04618733819722288,5.8837373499646975e-05,0.025152977171099083,5.8837373499646975e-05,0.007119322193457284,0.00014709343374911743,0.005354200988467875,0.051894563426688634,0.051335608378441984,0.004295128265474229,2.9418686749823487e-05,0.009237467639444575,0.042186396799246885,0.006266180277712403,0.011326194398682043,0.0014709343374911745,0.003912685337726524,0.00011767474699929395,0.0
Subcutaneous,0.0035996400359964,0.007099290070992901,0.018198180181981802,0.07639236076392361,0.019198080191980802,0.00029997000299970003,0.001999800019998,0.1695830416958304,0.0,0.0100989901009899,0.008999100089991,0.0,0.0037996200379962005,0.48465153484651535,0.055594440555944404,0.007599240075992401,0.033596640335966405,9.999000099990002e-05,0.0058994100589941,0.0005999400059994001,0.0035996400359964,0.0,0.00019998000199980003,0.0046995300469953,0.028897110288971104,0.006899310068993101,0.00019998000199980003,0.011698830116988301,0.010798920107989201,0.006899310068993101,0.0006999300069993001,0.0178982101789821,0.00019998000199980003
Tumor,0.008833987023936073,0.2357684835599868,0.016953190865437485,0.10809721051281111,0.09121733074300796,0.09700890729811958,0.011619808658040394,0.02670356658480261,0.02534731131556761,0.0736593233385873,0.0026758549906528355,0.007037865180895129,0.0029690993731901322,0.0005864887650745941,0.02413767823760126,0.0417140134159305,0.033851398409149226,0.06643818041860636,0.027876544114951798,0.0004215387998973645,0.01757633517832924,0.007056192954803709,0.004068765807704996,0.028316410688757742,0.005021810050951212,0.011271580953777354,0.0005131776694402698,0.00395879916425351,0.003463949268721821,0.010226897840988234,0.0004948498955316887,0.001997727356035336,0.003115721564458781
