"age_group","EMT","Proliferation","Angiogenesis","Adhesion","Glycolysis","OXPHOS","SASP","Senescence","Immunosenescence","DNA_Repair","Apoptosis"
"Elderly",0.0422,0.0086,0.0129,-0.0235,0.0733,0.0172,0.0231,0.0368,-0.0546,0.0083,-0.0711
"Young_Adult",-0.0112,-0.0137,-0.0332,0.0356,-0.0177,-0.1226,0.0021,-0.0047,-0.0209,0.0179,0.0197
