"age_group","SenMayo","SASP_Atlas","Cell_Cycle_Arrest","Telomere","DDR_Senescence","Immunosenescence","Senescent_Antiapoptosis"
"Elderly",0.0142,0.0259,0.0171,-0.031,0.0054,-0.0433,-0.0089
"Young",0.0132,0.0236,0.0042,0.0102,0.008,-0.0028,0.0159
